cell,row,column,crate,slot,chan,bin,txfiber,txch,rxrocid,rxfiber,rxch
261,13,21,SBS_ECALVTP2_ROCID,5,13,7,2,13,SBS_ECALVTP1_ROCID,4,13
262,13,22,SBS_ECALVTP2_ROCID,5,14,7,2,14,SBS_ECALVTP1_ROCID,4,14
263,13,23,SBS_ECALVTP2_ROCID,5,15,7,2,15,SBS_ECALVTP1_ROCID,4,15
264,14,0,SBS_ECALVTP2_ROCID,6,0,0,-1,-1,None,-1,-1
265,14,1,SBS_ECALVTP2_ROCID,6,1,0,-1,-1,None,-1,-1
266,14,2,SBS_ECALVTP2_ROCID,6,2,0,-1,-1,None,-1,-1
267,14,3,SBS_ECALVTP2_ROCID,6,3,1,-1,-1,None,-1,-1
268,14,4,SBS_ECALVTP2_ROCID,6,4,1,-1,-1,None,-1,-1
269,14,5,SBS_ECALVTP2_ROCID,6,5,1,-1,-1,None,-1,-1
270,14,6,SBS_ECALVTP2_ROCID,6,6,2,-1,-1,None,-1,-1
271,14,7,SBS_ECALVTP2_ROCID,6,7,2,-1,-1,None,-1,-1
272,14,8,SBS_ECALVTP2_ROCID,6,8,2,-1,-1,None,-1,-1
273,14,9,SBS_ECALVTP2_ROCID,6,9,3,-1,-1,None,-1,-1
274,14,10,SBS_ECALVTP2_ROCID,6,10,3,-1,-1,None,-1,-1
275,14,11,SBS_ECALVTP2_ROCID,6,11,3,-1,-1,None,-1,-1
276,14,12,SBS_ECALVTP2_ROCID,6,12,4,-1,-1,None,-1,-1
277,14,13,SBS_ECALVTP2_ROCID,6,13,4,-1,-1,None,-1,-1
278,14,14,SBS_ECALVTP2_ROCID,6,14,4,-1,-1,None,-1,-1
279,14,15,SBS_ECALVTP2_ROCID,6,15,5,-1,-1,None,-1,-1
280,14,16,SBS_ECALVTP2_ROCID,7,0,5,-1,-1,None,-1,-1
281,14,17,SBS_ECALVTP2_ROCID,7,1,5,-1,-1,None,-1,-1
282,14,18,SBS_ECALVTP2_ROCID,7,2,6,-1,-1,None,-1,-1
283,14,19,SBS_ECALVTP2_ROCID,7,3,6,-1,-1,None,-1,-1
284,14,20,SBS_ECALVTP2_ROCID,7,4,6,-1,-1,None,-1,-1
285,14,21,SBS_ECALVTP2_ROCID,7,5,7,-1,-1,None,-1,-1
286,14,22,SBS_ECALVTP2_ROCID,7,6,7,-1,-1,None,-1,-1
287,14,23,SBS_ECALVTP2_ROCID,7,7,7,-1,-1,None,-1,-1
288,15,2,SBS_ECALVTP2_ROCID,7,8,8,-1,-1,None,-1,-1
289,15,3,SBS_ECALVTP2_ROCID,7,9,9,-1,-1,None,-1,-1
290,15,4,SBS_ECALVTP2_ROCID,7,10,9,-1,-1,None,-1,-1
291,15,5,SBS_ECALVTP2_ROCID,7,11,9,-1,-1,None,-1,-1
292,15,6,SBS_ECALVTP2_ROCID,7,12,10,-1,-1,None,-1,-1
293,15,7,SBS_ECALVTP2_ROCID,7,13,10,-1,-1,None,-1,-1
294,15,8,SBS_ECALVTP2_ROCID,7,14,10,-1,-1,None,-1,-1
